Date,Price,Open,High,Low,Vol.,Change %
2020-01-03,0.005318,0.005094,0.005446,0.00502,601.85M,4.40%
2020-01-04,0.00563,0.005327,0.00567,0.00529,533.24M,5.87%
2020-01-05,0.005465,0.00562,0.005699,0.005428,531.16M,-2.93%
2020-01-06,0.005734,0.005461,0.005737,0.005443,916.78M,4.92%
2020-01-07,0.005579,0.005735,0.005782,0.005458,794.04M,-2.70%
2020-01-08,0.005487,0.005576,0.005614,0.005205,1.08B,-1.65%
2020-01-09,0.005324,0.005492,0.005492,0.005309,414.88M,-2.97%
2020-01-10,0.005455,0.005328,0.005579,0.005294,716.60M,2.46%
2020-01-11,0.005537,0.005451,0.00555,0.005353,611.36M,1.50%
2020-01-12,0.005525,0.005525,0.005594,0.005431,544.17M,-0.22%
2020-01-13,0.005407,0.005527,0.005527,0.005357,291.75M,-2.14%
2020-01-14,0.005986,0.005407,0.006046,0.005406,1.74B,10.71%
2020-01-15,0.006003,0.005972,0.006239,0.005758,1.49B,0.28%
2020-01-16,0.005885,0.006007,0.006043,0.00571,769.85M,-1.97%
2020-01-17,0.006395,0.005894,0.006577,0.005832,1.48B,8.67%
2020-01-18,0.006239,0.006391,0.006391,0.006095,621.98M,-2.44%
2020-01-19,0.005862,0.006239,0.006297,0.00579,969.31M,-6.04%
2020-01-20,0.005814,0.005862,0.00597,0.00571,482.08M,-0.82%
2020-01-21,0.005964,0.005819,0.006006,0.005759,513.45M,2.58%
2020-01-22,0.005863,0.005971,0.006,0.005825,269.55M,-1.69%
2020-01-23,0.005607,0.005863,0.005865,0.005462,704.21M,-4.37%
2020-01-24,0.00558,0.00561,0.005652,0.005484,433.80M,-0.48%
2020-01-25,0.005618,0.005578,0.005661,0.005485,217.90M,0.68%
2020-01-26,0.00573,0.005603,0.005742,0.005536,305.92M,1.99%
